chart_date,current_position,title,artist_name,last_week_position,weeks_on_chart,awards_vector
1990-02-24,4,Chains,Patty Loveless,7,6,Gains In Performance
1990-02-24,5,Fast Movin' Train,Restless Heart,11,6,Gains In Performance
1990-02-24,6,Statue Of A Fool,Ricky Van Shelton,4,6,
1990-02-24,7,Hard Rock Bottom Of Your Heart,Randy Travis,13,5,Gains In Performance
1990-02-24,8,Nobody's Home,Clint Black,5,6,
1990-02-24,9,Overnight Success,George Strait,8,6,
1990-02-24,10,Start All Over Again,The Desert Rose Band,6,6,
1990-02-24,11,Where've You Been,Kathy Mattea,10,6,
1990-02-24,12,Leave It Alone,The Forester Sisters,17,6,Gains In Performance
1990-02-24,13,I Can't Turn The Tide,Baillie and the Boys,9,6,
1990-02-24,14,Seein' My Father In Me,Paul Overstreet,21,6,Gains In Performance
1990-02-24,15,Heartbreak Hurricane,Ricky Skaggs,19,6,Gains In Performance
1990-02-24,16,Sooner Or Later,Eddy Raven,20,6,Gains In Performance
1990-02-24,17,Little Girl,Reba McEntire,15,6,
1990-02-24,18,Keep It In The Middle Of The Road,Exile,18,6,Gains In Performance
1990-02-24,19,Not Counting You,Garth Brooks,22,6,Gains In Performance
1990-02-24,20,My Arms Stay Open All Night,Tanya Tucker,12,6,
1990-02-24,21,Five Minutes,Lorrie Morgan,25,4,Gains In Performance
1990-02-24,22,When I Could Come Home To You,Steve Wariner,16,6,
1990-02-24,23,Tell Me Why,Jann Browne,24,6,Gains In Performance
1990-02-24,24,One Man Woman,The Judds,14,6,
1990-02-24,25,Quittin' Time,Mary Chapin Carpenter,30,6,Gains In Performance
1990-02-24,26,If You Want To Be My Woman,Merle Haggard,23,6,
1990-02-24,27,Here In The Real World,Alan Jackson,34,6,Gains In Performance
1990-02-24,28,Time's Up,Southern Pacific & Carlene Carter,26,6,
1990-02-24,29,Oklahoma Swing,Vince Gill With Reba,37,6,Gains In Performance
1990-02-24,30,Out Of Your Shoes,Lorrie Morgan,27,6,
1990-02-24,31,A Woman In Love,Ronnie Milsap,29,6,
1990-02-24,32,I've Been Loved By The Best,Don Williams,32,6,
1990-02-24,33,If Tomorrow Never Comes,Garth Brooks,33,6,
1990-02-24,34,Two Dozen Roses,Shenandoah,28,6,
1990-02-24,35,Just As Long As I Have You,Don Williams,40,5,Gains In Performance
1990-02-24,36,Stranger Things Have Happened,Ronnie Milsap,47,3,Gains In Performance
1990-02-24,37,Maybe,Kenny Rogers (With Holly Dunn),67,2,
1990-02-24,38,That Just About Does It,Vern Gosdin,38,6,
1990-02-24,39,Ain't Nobody's Business,Hank Williams Jr.,51,3,Gains In Performance
1990-02-24,40,It's You Again,Skip Ewing,35,6,
1990-02-24,41,It Ain't Nothin',Keith Whitley,36,6,
1990-02-24,42,In My Eyes,Lionel Cartwright,31,6,
1990-02-24,43,Who's Lonely Now,Highway 101,43,6,
1990-02-24,44,Till I Can't Take It Anymore,Billy Joe Royal,42,6,
1990-02-24,45,Many A Long & Lonesome Highway,Rodney Crowell,39,6,
1990-02-24,46,Right In The Wrong Direction,Vern Gosdin,52,4,Gains In Performance
1990-02-24,47,There Goes My Heart Again,Holly Dunn,44,6,
1990-02-24,48,It's Just A Matter Of Time,Randy Travis,46,6,
1990-02-24,49,"Walkin', Talkin', Cryin', Barely Beatin' Broken Heart",Highway 101,56,4,Gains In Performance
1990-02-24,50,Go Down Swingin',Wild Rose,55,6,Gains In Performance
1990-02-24,51,Time For Me To Fly,Dolly Parton,59,4,Gains In Performance
1990-02-24,52,"She's Gone, Gone, Gone",Glen Campbell,49,6,
1990-02-24,53,Back Where I Come From,Mac McAnally,65,4,Gains In Performance
1990-02-24,54,Country Club,Travis Tritt,53,6,
1990-02-24,55,Love On Arrival,Dan Seals,72,2,Gains In Performance
1990-02-24,56,She's A Little Past Forty,Ronnie McDowell,63,6,Gains In Performance
1990-02-24,57,The Race Is On,Sawyer Brown,54,6,
1990-02-24,58,This Heart,Sweethearts Of The Rodeo,69,4,Gains In Performance
1990-02-24,59,There You Are,Willie Nelson,48,6,
1990-02-24,60,The Lonely Side Of Love,Patty Loveless,61,6,
1990-03-03,1,No Matter How High,The Oak Ridge Boys,2,7,Gains In Performance
1990-03-03,2,Chains,Patty Loveless,4,7,Gains In Performance
1990-03-03,3,On Second Thought,Eddie Rabbitt,1,7,
1990-03-03,4,Hard Rock Bottom Of Your Heart,Randy Travis,7,6,Gains In Performance
1990-03-03,5,Southern Star,Alabama,3,7,
1990-03-03,6,Fast Movin' Train,Restless Heart,5,7,
